simulation_number,Q_raw_inf,C1_surface_area,C1_height,Q_int,Q_was,Q_ext,inf_S_O2,inf_S_N2,inf_S_NH4,inf_S_NO3,inf_S_PO4,inf_S_F,inf_S_A,inf_S_I,inf_S_ALK,inf_X_I,inf_X_S,inf_X_H,inf_X_PAO,inf_X_PP,inf_X_PHA,inf_X_AUT,inf_X_MeOH,inf_X_MeP,inf_COD,inf_BOD,inf_TN,inf_TKN,inf_TP,inf_TSS,inf_VSS
3762,19116.573222713356,1673.18753264609,2.4364968281924497,19799.38141625757,106.72213933786557,4988.151872228349,5.831760973216209,183.1253561653121,61.41872636882046,308.7290989270669,148.32499617178874,4.099832610791889,0.04181639993656502,781.084102998091,0.1082315844658839,696.6622242249798,144.01262020110494,9233.316147463885,286.98854464199877,95.49003146754117,97.85389463823249,766.2557002974579,0.0057732624700317535,77.7067513061799,12010.314883476478,5972.009419405757,1117.8346380649696,809.1055391379028,473.9529294640574,10332.533282607857,8674.46729075212
3763,4384.703999248164,2380.740033770591,5.860700016700589,138.1971182843577,76.70620705073604,16446.059135850475,6.695041722961653,31.405733616869355,193.12404019201307,275.4422091414816,99.15191987360738,58.927883320937475,0.0006051354310880209,180.12630665452272,0.05225963487986766,4095.0329165911776,40.14179227722627,2645.5661889985404,2105.651468884504,703.0208838062631,2.4070338352665654,434.61086973227026,0.01109849111053104,212.36112349554648,9562.465065429877,3005.4239895630635,918.6496758556526,643.2074667141711,991.4438558907626,10249.784826864725,6758.580676583103
3764,3812.6773670349967,2717.897864716244,8.944770971044274,15040.792716575488,246.0982655460237,16485.62898442043,5.643706973490416,362.5241368418908,0.03349717293748002,385.9747873526536,323.7556015878713,0.5209566332347689,0.0005099857197632553,483.87222264191206,99.6635427759892,2575.9518862118903,151.48423356048042,8778.251822098504,391.0155572121139,131.95258016197045,0.03356205824138458,888.5279596498069,0.16315795155603777,93.2988831774533,13269.658710051905,5787.3963092315225,1152.4867162448938,766.5119288922405,703.3048251636006,11616.641949210745,9666.250988002845
3765,13413.319776460408,1092.2683132354932,5.261935138052493,1025.9685411574446,654.0622559222819,19627.140195210042,3.6526018182660036,208.02359491476795,0.28603477644045855,154.99799373381734,55.86899024383448,0.21415387681678466,0.0006068155198865397,451.30985207529005,284.6820795689943,1156.5972901455027,147.1980586890862,9126.523677077084,522.1975016002211,171.17863123246448,0.004804153828222141,235.38014021189397,0.6612159782676179,62.43214841082582,11639.426084645243,5686.251885852017,880.7105121200326,725.7125183862153,450.5916836227154,10488.710831248343,8602.785864790367
3766,13216.368451627133,1469.1141431416895,4.34702125426837,28333.201215613815,378.46486441170873,16503.092190704163,0.13557951339070323,341.62760197921614,51.77083569430896,82.3846358061614,82.21030678496794,0.27829384233537924,0.04410269455505549,800.8324841485753,98.83861315080874,854.4128482757766,139.58052037429576,5419.513307756304,684.7772376041996,229.14409438579423,429.664731417324,645.0802328443714,0.5836937733797092,85.07483233401042,8974.183758957739,4154.799038856982,637.2995774120549,554.9149416058934,473.756692920965,7901.2168374108,6202.409889749534
3767,4501.484217680294,1294.8420118849622,8.491235822292015,11813.918480480148,542.7593520087414,19407.30355441447,6.031972729909885,327.95851078846283,221.67685932539004,400.52116987215135,187.64091265777682,8.08237717878007,0.00989749846023318,629.964655940126,0.07627308684812004,2159.5174331878634,104.96654784189917,7083.364124929433,635.588639295781,212.90929999255934,19.44834369022358,809.1056343694316,0.006336137871000038,157.64045540324577,11450.047653931999,4910.293427688909,1273.0932455513646,872.5720756792132,626.2122968441213,10229.541917811443,8174.007017941934
3768,7620.425122438637,2274.967720948578,6.056467439401475,7513.9430511518185,513.2444941336623,17743.853166270932,6.015641315677549,547.0996416686576,0.017268043704397898,102.37491355171139,105.46596951649045,0.8553641536575541,0.0013254727124294866,564.7859770936632,63.30491470240104,3071.482640032748,94.07875718845008,5651.918220331642,499.94108814918746,167.9211972132382,0.09393377265104574,1188.8173563503494,0.954164924874972,183.3306373315952,11071.97466254506,4214.750275158122,687.1058719173377,584.7309583656263,489.5162159887492,9706.69213101657,7818.400202646606
3769,4700.746150255555,1588.8896763886114,5.72085115399932,1433.181246436528,491.86666017916895,7865.455746532952,4.9758205227851,651.2303710327368,0.07009626772937409,74.62014778628594,67.06020107581602,0.36117138697229795,0.0015066833301783952,898.816984900536,105.27754933616946,2379.8202072211748,91.2665913347972,5033.80928155362,1349.8032702624148,444.636656675898,5.65245438110099,557.6013745269436,1.05582171171131,125.21324206681892,10317.13284225089,3989.6369816724728,620.8212916864538,546.201143900168,700.9511617456985,9664.072735778584,7056.446586215313
3770,6445.70638386919,2669.0679312698117,7.459178871618402,5641.904593163252,300.6221452555759,4903.182963539408,6.650934994496274,611.6528376711326,35.31451691461537,148.8339198411799,57.422458576091294,51.43489581135259,0.0015107078198076625,508.10895810123833,0.05091731617172263,2847.662053834093,64.19594742301733,4227.6253565817815,1043.687716801366,339.0126625337044,0.08034780732343676,751.7575707218348,0.011159595258136956,125.44639647326898,9494.554357789826,3487.0686723827125,671.9085972720995,523.0746774309197,572.2928925859368,8823.529581236564,6618.550829773056
3771,5495.707315834626,1034.503635342229,7.049134549972813,10532.460203038007,743.0784492610353,14250.751065717915,4.78431429557242,506.45098945057475,94.38243730659903,226.58053051492973,134.02518736097065,0.6649406727838928,0.0005204643346467171,373.2120993661245,0.6205647924991811,2883.2969442165886,98.8066355832449,5313.782715791041,785.4268233271366,262.02711399541005,0.15350281735288887,810.4838712345702,0.04320709053820161,88.0060984636019,10265.828053473177,3973.177827287131,870.0117800677275,643.4312495527977,582.1480202120163,9388.51969076254,7361.982276323494
