simulation_number,Raw influent flow,Final effluent flow,Wastage flow,Total cycle flow,External recycle flow,Split internal ratio,Internal recycle flow
1704,10364.858129475722,9879.12479380634,485.7333356693747,32856.91753466146,18308.764796898842,0.1273185360961133,4183.2946459374225
1705,16589.12102653114,16424.710428563103,164.41059796802412,23001.289059252522,3888.0955314742073,0.10973613338566912,2524.072527083661
1706,12021.235772134465,11615.263785024426,405.9719871100259,23884.04171806058,1689.4616674421454,0.4259473510580563,10173.344320089976
1707,13156.236022308356,12371.737716228814,784.49830607952,32574.435977134606,7354.100928645963,0.3703548103556737,12064.099077914865
1708,18598.8181352068,18538.239055560265,60.57907964652256,40701.225434963,16973.911720842334,0.12600346954688085,5128.495625482959
1709,18277.87574230998,17498.6578120711,779.2179302388809,37322.47169853084,4026.1543034323886,0.40239676009191333,15018.441715242054
1710,19950.532181006,19432.87974485504,517.6524361509448,34258.27352539991,11110.392666662214,0.09333070184110075,3197.3487155164503
1711,11868.63078816379,11427.673985606169,440.95680255760885,23183.3741485632,1998.6746942494444,0.4018426580028563,9316.068704907948
1712,5580.701810487452,5420.666347482067,160.0354630053788,20260.220372479085,9668.791169612688,0.2473185049579023,5010.727419296327
1713,14958.667700226191,14178.092941832203,780.5747583939714,54909.49711366549,14395.127632626305,0.4654149678847152,25555.701883527203
1714,8502.535858629675,7706.034395669589,796.5014629600803,21454.300786422773,10646.710759954287,0.10744019170048412,2305.05419187563
1715,10980.105650308127,10848.650170233375,131.4554800747374,53519.12018453117,16979.61636306721,0.47757508226120804,25559.398273599487
1716,16426.312294259686,15867.337599256056,558.9746950036316,51089.44487368428,19073.23395729854,0.3051491107754376,15589.898695651817
1717,8886.170847748122,8705.954804544002,180.2160432041099,19315.00019734772,10326.347975670133,0.005305793020832348,102.48139334749098
1718,1230.5813817860744,709.7353975057932,520.8459842802789,15231.963144870706,12883.249208005684,0.07340699026621765,1118.1325715176235
1719,8879.214950625763,8531.549041501217,347.66590912454365,15751.37955914539,4812.45376419509,0.13076383896038052,2059.710862445481
1720,15574.115181914854,15466.778594700783,107.3365872140646,33555.87291961361,4091.4173373817575,0.4139466276782173,13890.340457574359
1721,5534.410076759101,5469.311252475789,65.09882428331161,26687.164226553454,13832.800175661137,0.2742874416584547,7319.954010906951
1722,6122.704197246896,5388.109977316937,734.5942199299535,21150.614806575024,7866.85796907332,0.3385742082154174,7161.052672232114
1723,5861.6130824241945,5574.242326957677,287.3707554665126,33484.62047109203,19231.692579116956,0.2506020592432842,8391.314854232902
1724,19448.296000724822,19172.09232730596,276.20367341884355,36356.41065308597,6855.603347158985,0.27649900419158413,10052.511355452823
1725,2469.0772800892914,2109.7768368192815,359.3004432700082,24255.29901448977,11601.883009880066,0.4198809811700005,10184.338766331304
1726,19964.810918834253,19212.69991661402,752.1110022202138,27882.11569068564,5598.329930092944,0.08317069247421718,2318.9748721699016
1727,8258.357558138894,7807.41676675943,450.94079137945494,19913.739538845944,4250.189245922944,0.3718634935569211,7405.192766486983
1728,8734.595015112152,8489.514610755947,245.08040435619824,22327.090092896706,6164.817196779844,0.3326755915091188,7427.677914462329
1729,19587.30689921898,19462.04902329189,125.25787592709062,54844.10373540808,19643.514426028887,0.28468479565879345,15613.282486831451
1730,11288.344883297936,10502.767859403002,785.5770238949319,30055.565762037375,11432.207631021703,0.24404841804834768,7335.0132874763185
1731,6612.191025105976,6350.594354659798,261.5966704461731,18919.720735756382,12170.490462321353,0.0072431971466568245,137.03926738681363
1732,4291.403164879717,3898.0974586024936,393.3057062772175,16790.24137168595,11981.18890684456,0.03083036778880651,517.649317286029
1733,19246.930259631372,18844.902886806543,402.02737282481587,46400.351375641476,17117.352299503982,0.2162929496300119,10036.068875712359
1734,11583.009078065348,11308.419617685951,274.5894603793856,35297.11609887999,19196.33413803617,0.1279926922477086,4517.772923256474
1735,6410.072719083357,5912.477402701436,497.5953163819123,22142.02833400684,13589.15299081473,0.09677535472031536,2142.802648623177
1736,1556.1474230053,996.642083081869,559.5053399234303,4363.743959664482,1702.368862901058,0.2532750977916785,1105.2276796019678
1737,9480.67939626021,8983.362106177745,497.31729008245486,29305.151585104064,9753.827572693113,0.3436475875652814,10070.644660799231
1738,15572.07293176845,14850.26199734673,721.8109344217032,33013.404859581366,5465.7999205504675,0.36274755939935216,11975.532059068293
1739,15310.628976103577,15054.649378451622,255.979597651935,40479.27879988333,6849.649710761829,0.4525525329653354,18319.00018695977
1740,6010.433458591513,5600.69784201746,409.7356165740506,26297.02620208733,11544.234331650507,0.33244665655192646,8742.358451238455
1741,16746.972457678494,16632.294730523965,114.67772715451402,41550.7163088242,13012.97075121851,0.2837682280575721,11790.773157940126
1742,5522.4208720700435,4879.513459228366,642.9074128416801,35163.544519494775,18647.997623307532,0.3126284966291189,10993.126075273733
1743,2510.5129150933326,2154.581194424999,355.9317206683351,26459.57764566034,16336.85816195351,0.2876919162132417,7612.206605759752
1744,1979.2913497951663,1283.4313231578913,695.8600266372708,35386.023094714496,15983.709092979154,0.4923701835804381,17423.022721648493
1745,17465.158677791234,16921.485266617692,543.6734111735308,41830.646328061805,15488.63392876798,0.21220933795082794,8876.853774601259
